forecast_time_local,V10m_Dir,V10m_Km/h,RafaleV10_Km/h,V22m_Dir,V22m_Km/h,RafaleV22_Km/h,V60m_Dir,V60m_Km/h,RafaleV60_Km/h,V70m_Dir,V70m_Km/h,RafaleV70_Km/h,T(°C),Pluie(mm),Pluie(%),Visibilite_km,Temps_sensible
2026-06-12 07:00,SO,13.357471664481665,21.229280090332036,SO,14.528359918293756,23.09019473937847,SO,16.167863027683442,25.695887762164645,SO,16.435662241577734,26.12150607246583,26.0,0.0010414123535156,10.0,10.0,Modérément nuageux
2026-06-12 09:00,O,6.788780563601264,21.96368408203125,O,7.207101315734958,23.317073657485174,O,7.776884902132623,25.16048965385175,O,7.868334639826207,25.45635621328301,29.0,0.0062395731608072,10.0,10.0,Modérément nuageux
2026-06-12 11:00,NO,9.327993088520868,20.38815364837647,NO,9.705933485005918,21.214216318057044,NO,10.2090790852906,22.313939453436785,NO,10.28866259287816,22.487884777492468,30.0,0.0094655354817708,10.0,10.0,Modérément nuageux
2026-06-12 13:00,O,9.66705216019545,16.502688789367678,O,10.069985709423028,17.190539320792105,O,10.6070875914206,18.10742950198777,O,10.692111290358463,18.2525740217484,31.0,0.0107192993164062,20.0,10.0,Modérément nuageux
2026-06-12 15:00,O,13.666248168829364,21.31957683563232,O,14.330874001056229,22.356404304448915,O,15.223540379253276,23.748978857716946,O,15.365536312837484,23.97049490067164,31.0,0.0107294718424479,30.0,8.0,Orages et pluies
2026-06-12 17:00,O,15.418647044797387,23.223062324523926,O,16.32100642983843,24.582166542750265,O,17.54600414182348,26.427218065764876,O,17.742198586400804,26.722719726896795,30.0,0.0119374593098958,40.0,8.0,Orages et pluies
2026-06-12 19:00,O,14.328476959965885,22.21314525604248,O,15.40227442558015,23.87783154097732,O,16.88580059965101,26.17771187632982,O,17.126068606434856,26.55019446118385,30.0,0.01434326171875,20.0,10.0,Modérément nuageux
2026-06-12 21:00,SO,9.372083025708136,21.81774272918701,SO,10.210663549581126,23.769916443118163,SO,11.38710169905009,26.508605890438265,SO,11.57949527450505,26.95648855649132,29.0,0.0149078369140625,40.0,8.0,Orages et pluies
2026-06-12 23:00,SO,7.997674431653958,20.15937252044678,SO,8.640212059473571,21.778987760891244,SO,9.533007773849,24.029417125647285,SO,9.678128175218346,24.39521549072482,28.0,0.0152842203776041,30.0,9.0,Assez nuageux
2026-06-13 01:00,S,5.238075521965245,17.23803462982178,S,5.56804906474201,18.32394783085497,S,6.018160937935783,19.805225453690223,S,6.090471435743276,20.04319278731842,28.0,0.015472412109375,20.0,9.0,Modérément nuageux
2026-06-13 03:00,S,4.295392327779964,14.373443984985352,S,4.63304972327381,15.503329054821393,S,5.101362052343827,17.07041781312462,S,5.177396030040666,17.32484628810073,27.0,0.0179290771484375,10.0,9.0,Modérément nuageux
2026-06-13 05:00,SE,3.991011537843789,12.490481758117676,SE,4.3366512889694855,13.572214287672898,SE,4.820088997476725,15.085206626091,SE,4.898999231744522,15.33216828789146,27.0,0.0191726684570312,10.0,9.0,Modérément nuageux
2026-06-13 07:00,SE,3.784634684650399,11.58914794921875,SE,4.078774652549792,12.489850894100048,SE,4.486347055744927,13.737901835398068,SE,4.55247992936965,13.940411118487486,26.0,0.0192031860351562,10.0,10.0,Modérément nuageux
2026-06-13 13:00,SO,12.117553248092776,17.660989379882814,SO,12.618356561002972,18.390895971554624,SO,13.285659714082708,19.363471346996725,SO,13.39126835062448,19.51739293250176,31.0,0.019317626953125,20.0,10.0,Modérément nuageux
2026-06-13 19:00,SO,18.92463004762018,32.04357604980469,SO,20.40432327384444,34.54902330587194,SO,22.455664720903933,38.02239718412292,SO,22.788621201661115,38.586166002090366,30.0,0.019439697265625,20.0,10.0,Modérément nuageux
2026-06-14 01:00,SO,9.111200654106137,21.05306282043457,SO,9.965247069459988,23.026490200272644,SO,11.168727315233678,25.807347101498607,SO,11.36609894010751,26.263409631036616,28.0,0.0218353271484375,20.0,9.0,Modérément nuageux
2026-06-14 07:00,E,4.359155421353092,20.39180603027344,E,4.971377230007253,23.25573428307789,E,5.876288819066602,27.48884363913681,E,6.029227863481357,28.204281155515392,26.0,0.0263214111328125,10.0,10.0,Modérément nuageux
2026-06-14 13:00,SO,17.180600284545864,25.345702743530275,SO,18.01973526463225,26.58363770591333,SO,19.147043055624447,28.24669997950894,SO,19.32638931818821,28.51128078482533,31.0,0.0341339111328125,20.0,10.0,Modérément nuageux
2026-06-14 19:00,SO,19.529595735790146,30.077768325805664,SO,21.082634777579223,32.46962267506178,SO,23.23869416929289,35.79019601195872,SO,23.58896091372321,36.329646092428256,30.0,0.0342864990234375,20.0,10.0,Modérément nuageux
2026-06-15 01:00,SO,10.54988894737042,21.44497604370117,SO,11.44352805737855,23.26149462521813,SO,12.690948468211232,25.79715172646169,SO,12.894304205404488,26.210517112032456,28.0,0.0384674072265625,20.0,9.0,Modérément nuageux
2026-06-15 07:00,SE,7.662040955420212,19.536535835266115,SE,8.294293305951717,21.148641640358687,SE,9.174816627838467,23.393784355193556,SE,9.318150856057002,23.75925542253765,26.0,0.0455474853515625,10.0,10.0,Modérément nuageux
