valid_local,wind10_dir,wind10_spd_kt,wind10_gust_kt,wind100_dir,wind100_spd_kt,mslp_hpa,vis_km,t2m_c,rain_pct,sst_c,sw1_dir,sw1_period_s,sw1_ht_m,sw2_dir,sw2_period_s,sw2_ht_m,swh_m,swh_source,cur_dir,cur_spd_kt
2026-05-20 19:00:00,225.0,11,15.0,225.0,12,1011,9.6,29,20,29.8,180,8.0,1.1,225,11.0,0.8,1.71,ECMWF,67.5,0
2026-05-20 22:00:00,225.0,11,15.0,225.0,11,1014,9.9,29,20,29.7,180,7.0,1.1,225,11.0,0.8,1.69,ECMWF,90.0,0
2026-05-21 01:00:00,247.5,11,14.0,247.5,11,1013,8.4,28,50,29.6,180,7.0,1.1,225,11.0,0.7,1.66,ECMWF,90.0,0
2026-05-21 04:00:00,225.0,5,16.0,225.0,5,1012,7.8,27,100,29.5,180,7.0,1.1,225,11.0,0.7,1.61,ECMWF,90.0,0
2026-05-21 07:00:00,180.0,1,7.0,157.5,1,1013,9.1,25,100,29.4,180,7.0,1.1,225,11.0,0.7,1.54,ECMWF,90.0,0
2026-05-21 10:00:00,180.0,3,5.0,180.0,3,1015,9.0,26,50,29.3,180,7.0,1.1,225,11.0,0.7,1.49,ECMWF,90.0,0
2026-05-21 13:00:00,202.5,9,13.0,202.5,10,1013,7.7,27,10,29.6,180,7.0,1.0,225,11.0,0.7,1.45,ECMWF,90.0,1
2026-05-21 16:00:00,202.5,12,16.0,202.5,12,1010,7.9,27,10,29.7,180,7.0,1.0,225,11.0,0.7,1.44,ECMWF,90.0,1
2026-05-21 19:00:00,225.0,13,17.0,225.0,14,1010,7.6,28,10,29.6,180,7.0,0.9,225,10.0,0.7,1.44,ECMWF,67.5,1
2026-05-21 22:00:00,225.0,11,16.0,225.0,11,1013,7.0,28,20,29.5,180,7.0,1.0,225,10.0,0.7,1.42,ECMWF,67.5,1
2026-05-22 01:00:00,247.5,8,14.0,247.5,9,1013,9.2,28,100,29.4,180,6.0,1.0,225,10.0,0.6,1.38,ECMWF,90.0,1
2026-05-22 04:00:00,247.5,5,13.0,247.5,6,1012,8.0,27,100,29.3,180,6.0,0.9,225,10.0,0.6,1.33,ECMWF,90.0,1
2026-05-22 07:00:00,270.0,7,10.0,270.0,7,1013,7.9,28,100,29.3,180,6.0,0.9,225,10.0,0.6,1.28,ECMWF,90.0,1
2026-05-22 10:00:00,225.0,6,9.0,225.0,6,1014,9.3,28,20,29.4,180,6.0,0.8,225,10.0,0.6,1.24,ECMWF,90.0,1
2026-05-22 13:00:00,202.5,10,14.0,202.5,11,1012,10.0,28,10,29.7,180,7.0,0.8,225,10.0,0.6,1.22,ECMWF,90.0,1
2026-05-22 16:00:00,202.5,12,16.0,202.5,12,1010,9.3,28,60,29.8,180,7.0,0.8,225,10.0,0.6,1.23,ECMWF,90.0,1
2026-05-22 19:00:00,202.5,12,16.0,202.5,13,1011,7.2,28,100,29.7,180,7.0,0.8,225,10.0,0.6,1.23,ECMWF,90.0,1
2026-05-22 22:00:00,180.0,8,14.0,180.0,9,1013,7.6,27,100,29.6,180,6.0,0.8,225,10.0,0.6,1.22,ECMWF,90.0,1
2026-05-23 01:00:00,225.0,7,10.0,225.0,7,1013,7.1,28,100,29.5,180,6.0,0.8,225,10.0,0.5,1.19,ECMWF,90.0,1
2026-05-23 04:00:00,270.0,6,10.0,270.0,6,1012,7.3,27,80,29.4,180,6.0,0.8,225,10.0,0.5,1.16,ECMWF,90.0,1
2026-05-23 07:00:00,270.0,4,10.0,270.0,4,1013,8.3,27,100,29.3,180,6.0,0.8,225,10.0,0.5,1.13,ECMWF,112.5,1
2026-05-23 10:00:00,22.5,3,7.0,22.5,3,1014,9.1,26,100,29.4,180,6.0,0.7,225,10.0,0.5,1.11,ECMWF,112.5,1
2026-05-23 13:00:00,202.5,7,10.0,202.5,7,1013,9.2,27,20,29.9,180,6.0,0.7,225,10.0,0.5,1.1,ECMWF,112.5,1
2026-05-23 16:00:00,202.5,9,13.0,202.5,9,1011,9.6,28,10,30.1,180,6.0,0.7,225,10.0,0.5,1.11,ECMWF,90.0,1
2026-05-23 19:00:00,202.5,10,13.0,202.5,10,1011,7.4,28,10,29.8,180,6.0,0.7,225,10.0,0.4,1.13,ECMWF,90.0,1
