valid_local,wind10_dir,wind10_spd_kt,wind10_gust_kt,wind100_dir,wind100_spd_kt,mslp_hpa,vis_km,t2m_c,rain_pct,sst_c,sw1_dir,sw1_period_s,sw1_ht_m,sw2_dir,sw2_period_s,sw2_ht_m,swh_m,swh_source,cur_dir,cur_spd_kt
2026-05-19 19:00:00,202.5,8,12,202.5,9,1011,6.5,28,60,29.7,225.0,11.0,0.8,180,13.0,0.5,1.74,ECMWF,157.5,0
2026-05-19 22:00:00,225.0,8,13,225.0,9,1014,6.8,28,60,29.6,225.0,11.0,0.8,180,13.0,0.5,1.77,ECMWF,202.5,0
2026-05-20 01:00:00,247.5,8,11,247.5,8,1014,6.4,28,20,29.5,202.5,9.0,1.0,180,12.0,0.7,1.77,ECMWF,247.5,0
2026-05-20 04:00:00,247.5,8,11,247.5,9,1012,6.0,28,60,29.5,180.0,8.0,1.1,225,11.0,0.8,1.76,ECMWF,292.5,0
2026-05-20 07:00:00,247.5,8,11,247.5,8,1013,7.9,27,40,29.3,180.0,8.0,1.1,225,11.0,0.8,1.74,ECMWF,0.0,0
2026-05-20 10:00:00,225.0,6,9,225.0,6,1015,8.0,27,60,29.4,180.0,8.0,1.1,225,11.0,0.8,1.71,ECMWF,45.0,0
2026-05-20 13:00:00,225.0,10,13,225.0,10,1013,9.6,27,100,29.7,180.0,8.0,1.1,225,11.0,0.8,1.68,ECMWF,67.5,0
2026-05-20 16:00:00,225.0,12,16,225.0,13,1010,10.0,28,10,29.7,180.0,8.0,1.1,225,11.0,0.8,1.68,ECMWF,67.5,0
2026-05-20 19:00:00,225.0,10,14,225.0,11,1011,10.0,28,10,29.6,180.0,8.0,1.1,225,11.0,0.8,1.66,ECMWF,67.5,0
2026-05-20 22:00:00,225.0,13,18,225.0,15,1013,9.1,29,10,29.5,180.0,8.0,1.0,225,11.0,0.8,1.68,ECMWF,67.5,0
2026-05-21 01:00:00,247.5,11,14,247.5,11,1013,10.0,28,20,29.5,180.0,8.0,1.0,225,11.0,0.7,1.65,ECMWF,90.0,1
2026-05-21 04:00:00,247.5,5,12,247.5,6,1012,8.3,27,100,29.4,180.0,8.0,1.0,225,11.0,0.7,1.6,ECMWF,90.0,1
2026-05-21 07:00:00,292.5,8,12,292.5,9,1013,8.9,27,70,29.2,180.0,8.0,1.0,225,11.0,0.7,1.54,ECMWF,90.0,1
2026-05-21 10:00:00,225.0,5,9,225.0,6,1014,9.4,26,100,29.3,180.0,7.0,1.0,225,11.0,0.7,1.48,ECMWF,112.5,1
2026-05-21 13:00:00,202.5,10,14,202.5,10,1013,7.7,27,20,29.7,180.0,7.0,1.0,225,10.0,0.7,1.43,ECMWF,90.0,1
2026-05-21 16:00:00,202.5,12,16,202.5,12,1010,7.8,28,10,29.7,180.0,7.0,0.9,225,11.0,0.7,1.42,ECMWF,90.0,1
2026-05-21 19:00:00,225.0,15,19,225.0,15,1010,8.9,28,10,29.6,180.0,7.0,0.9,225,10.0,0.7,1.45,ECMWF,90.0,1
2026-05-21 22:00:00,225.0,10,16,225.0,11,1013,7.3,28,20,29.5,180.0,7.0,0.8,225,10.0,0.7,1.44,ECMWF,90.0,1
2026-05-22 01:00:00,225.0,13,17,225.0,14,1012,9.9,28,40,29.5,180.0,7.0,0.9,225,10.0,0.6,1.43,ECMWF,90.0,1
2026-05-22 04:00:00,270.0,4,12,270.0,4,1012,8.1,26,100,29.4,180.0,6.0,0.9,225,10.0,0.6,1.38,ECMWF,90.0,1
2026-05-22 07:00:00,112.5,0,6,135.0,1,1013,8.8,26,100,29.2,180.0,6.0,0.9,225,10.0,0.6,1.31,ECMWF,90.0,1
2026-05-22 10:00:00,225.0,4,7,225.0,4,1014,7.4,27,10,29.3,180.0,6.0,0.8,225,10.0,0.6,1.26,ECMWF,90.0,1
2026-05-22 13:00:00,202.5,9,12,202.5,9,1013,7.9,27,10,29.7,180.0,6.0,0.8,225,10.0,0.6,1.21,ECMWF,90.0,1
